ssid,bssid,rssi,noise,channel,time_utc,location
PLOCAL,6c:d6:e3:63:28:1a,-66,-96,153,13:06:42,6.03
kcldevnet,6c:d6:e3:64:0a:b8,-88,-95,100,13:06:42,6.03
SLaMFT,6c:d6:e3:64:54:f4,-70,-90,11,13:06:42,6.03
govroam,6c:d6:e3:5b:63:51,-87,-90,11,13:06:42,6.03
kcldevnet,6c:d6:e3:64:54:f8,-79,-96,56,13:06:42,6.03
kcldevnet,6c:d6:e3:63:28:18,-66,-96,153,13:06:42,6.03
eduroam,6c:d6:e3:63:94:70,-53,-90,1,13:06:42,6.03
The Cloud,6c:d6:e3:5b:63:54,-87,-90,11,13:06:42,6.03
The Cloud,6c:d6:e3:63:8c:6c,-86,-94,44,13:06:42,6.03
KINGSWAP,6c:d6:e3:64:75:6d,-73,-93,132,13:06:42,6.03
SLaMFT,6c:d6:e3:64:4d:4b,-72,-94,36,13:06:42,6.03
KINGSWAP,6c:d6:e3:62:41:dd,-78,-96,161,13:06:42,6.03
SLaMFT,6c:d6:e3:63:94:74,-53,-90,1,13:06:42,6.03
SLaMFT,6c:d6:e3:62:41:db,-78,-96,161,13:06:42,6.03
SLaMFT,6c:d6:e3:64:75:6b,-73,-93,132,13:06:42,6.03
KINGSWAP,6c:d6:e3:05:49:dd,-66,-94,112,13:06:42,6.03
KINGSWAP,6c:d6:e3:64:4d:4d,-72,-94,36,13:06:42,6.03
eduroam,6c:d6:e3:64:0a:bf,-88,-95,100,13:06:42,6.03
The Cloud,6c:d6:e3:62:41:dc,-78,-96,161,13:06:42,6.03
PLOCAL,6c:d6:e3:63:94:75,-53,-90,1,13:06:42,6.03
KINGSWAP,6c:d6:e3:63:28:1d,-66,-96,153,13:06:42,6.03
PLOCAL,6c:d6:e3:64:54:fa,-79,-96,56,13:06:42,6.03
PLOCAL,6c:d6:e3:64:75:6a,-73,-93,132,13:06:42,6.03
PLOCAL,6c:d6:e3:05:49:da,-66,-94,112,13:06:42,6.03
govroam,6c:d6:e3:64:0a:be,-88,-95,100,13:06:42,6.03
PLOCAL,6c:d6:e3:64:80:1a,-57,-96,161,13:06:42,6.03
eduroam,6c:d6:e3:63:8c:6f,-86,-94,44,13:06:42,6.03
KINGSWAP,6c:d6:e3:5d:a5:5d,-58,-95,64,13:06:42,6.03
The Cloud,6c:d6:e3:64:4d:4c,-72,-94,36,13:06:42,6.03
kcldevnet,6c:d6:e3:64:4d:48,-72,-94,36,13:06:42,6.03
govroam,6c:d6:e3:64:54:fe,-79,-96,56,13:06:42,6.03
The Cloud,6c:d6:e3:64:0a:bc,-88,-95,100,13:06:42,6.03
govroam,6c:d6:e3:63:94:71,-53,-90,1,13:06:42,6.03
SLaMFT,6c:d6:e3:5c:8c:1b,-70,-94,44,13:06:42,6.03
SLaMFT,6c:d6:e3:64:54:fb,-79,-96,56,13:06:42,6.03
govroam,6c:d6:e3:62:41:de,-78,-96,161,13:06:42,6.03
SLaMFT,6c:d6:e3:63:8c:6b,-86,-94,44,13:06:42,6.03
PLOCAL,6c:d6:e3:5b:b6:ca,-85,-94,149,13:06:42,6.03
kcldevnet,6c:d6:e3:5b:b6:c8,-85,-94,149,13:06:42,6.03
govroam,6c:d6:e3:5b:b6:ce,-85,-94,149,13:06:42,6.03
PLOCAL,6c:d6:e3:64:0a:ba,-88,-95,100,13:06:42,6.03
The Cloud,6c:d6:e3:5d:a5:5c,-58,-95,64,13:06:42,6.03
kcldevnet,6c:d6:e3:64:75:68,-73,-93,132,13:06:42,6.03
govroam,6c:d6:e3:64:75:6e,-73,-93,132,13:06:42,6.03
PLOCAL,6c:d6:e3:64:4d:4a,-72,-94,36,13:06:42,6.03
The Cloud,6c:d6:e3:64:80:1c,-57,-96,161,13:06:42,6.03
eduroam,6c:d6:e3:5b:b6:cf,-85,-94,149,13:06:42,6.03
eduroam,6c:d6:e3:63:94:7f,-69,-95,100,13:06:42,6.03
eduroam,6c:d6:e3:64:4d:4f,-73,-94,36,13:06:42,6.03
kcldevnet,6c:d6:e3:62:41:d8,-77,-96,161,13:06:42,6.03
eduroam,6c:d6:e3:62:41:df,-78,-96,161,13:06:42,6.03
PLOCAL,6c:d6:e3:63:8c:6a,-85,-94,44,13:06:42,6.03
SLaMFT,6c:d6:e3:05:49:db,-66,-94,112,13:06:42,6.03
kcldevnet,6c:d6:e3:63:94:78,-69,-95,100,13:06:42,6.03
SLaMFT,6c:d6:e3:64:75:64,-57,-90,11,13:06:42,6.03
KINGSWAP,6c:d6:e3:63:8c:6d,-86,-94,44,13:06:42,6.03
PLOCAL,6c:d6:e3:64:18:6a,-88,-96,56,13:06:42,6.03
PLOCAL,6c:d6:e3:62:41:da,-78,-96,161,13:06:42,6.03
KINGSWAP,6c:d6:e3:5b:b6:cd,-85,-94,149,13:06:42,6.03
govroam,6c:d6:e3:64:80:1e,-57,-96,161,13:06:42,6.03
The Cloud,6c:d6:e3:64:54:f3,-70,-90,11,13:06:42,6.03
SLaMFT,6c:d6:e3:64:18:6b,-88,-96,56,13:06:42,6.03
KINGSWAP,6c:d6:e3:5c:8c:1d,-70,-94,44,13:06:42,6.03
SLaMFT,6c:d6:e3:64:80:1b,-57,-96,161,13:06:42,6.03
SLaMFT,6c:d6:e3:64:0a:bb,-88,-95,100,13:06:42,6.03
The Cloud,6c:d6:e3:63:94:73,-53,-90,1,13:06:42,6.03
eduroam,6c:d6:e3:64:75:60,-57,-90,11,13:06:42,6.03
The Cloud,6c:d6:e3:05:49:dc,-66,-94,112,13:06:42,6.03
The Cloud,6c:d6:e3:63:28:1c,-66,-96,153,13:06:42,6.03
The Cloud,6c:d6:e3:64:75:63,-57,-90,11,13:06:42,6.03
govroam,6c:d6:e3:5d:a5:5e,-58,-95,64,13:06:42,6.03
The Cloud,6c:d6:e3:5c:8c:1c,-70,-94,44,13:06:42,6.03
govroam,6c:d6:e3:5c:8c:1e,-70,-94,44,13:06:42,6.03
eduroam,6c:d6:e3:5c:8c:1f,-70,-94,44,13:06:42,6.03
kcldevnet,6c:d6:e3:05:49:d8,-66,-94,112,13:06:42,6.03
SLaMFT,6c:d6:e3:5b:b6:cb,-85,-94,149,13:06:42,6.03
kcldevnet,6c:d6:e3:5c:8c:18,-70,-94,44,13:06:42,6.03
The Cloud,6c:d6:e3:5b:b6:cc,-85,-94,149,13:06:42,6.03
kcldevnet,6c:d6:e3:64:18:68,-88,-96,56,13:06:42,6.03
KINGSWAP,6c:d6:e3:63:94:7d,-69,-95,100,13:06:42,6.03
govroam,6c:d6:e3:05:49:de,-66,-94,112,13:06:42,6.03
SLaMFT,6c:d6:e3:63:94:7b,-69,-95,100,13:06:42,6.03
PLOCAL,6c:d6:e3:63:94:7a,-69,-95,100,13:06:42,6.03
kcldevnet,6c:d6:e3:63:8c:68,-86,-94,44,13:06:42,6.03
govroam,6c:d6:e3:63:8c:6e,-85,-94,44,13:06:42,6.03
govroam,6c:d6:e3:64:75:61,-57,-90,11,13:06:42,6.03
govroam,6c:d6:e3:64:4d:4e,-72,-94,36,13:06:42,6.03
PLOCAL,6c:d6:e3:64:54:f5,-70,-90,11,13:06:42,6.03
eduroam,6c:d6:e3:05:49:df,-66,-94,112,13:06:42,6.03
KINGSWAP,6c:d6:e3:64:0a:bd,-87,-95,100,13:06:42,6.03
govroam,6c:d6:e3:63:94:7e,-69,-95,100,13:06:42,6.03
KINGSWAP,6c:d6:e3:64:54:fd,-80,-96,56,13:06:42,6.03
PLOCAL,6c:d6:e3:5c:8c:1a,-70,-94,44,13:06:42,6.03
govroam,6c:d6:e3:63:28:1e,-66,-96,153,13:06:42,6.03
eduroam,6c:d6:e3:63:28:1f,-66,-96,153,13:06:42,6.03
eduroam,6c:d6:e3:64:54:f0,-70,-90,11,13:06:42,6.03
The Cloud,6c:d6:e3:64:54:fc,-79,-96,56,13:06:42,6.03
The Cloud,6c:d6:e3:63:94:7c,-69,-95,100,13:06:42,6.03
KINGSWAP,6c:d6:e3:64:80:1d,-57,-96,161,13:06:42,6.03
eduroam,6c:d6:e3:64:54:ff,-80,-96,56,13:06:42,6.03
govroam,6c:d6:e3:64:54:f1,-70,-90,11,13:06:42,6.03
